1: 32'1/3
121: 2555'35/71
122: 46'172/385
123: 162'62/97
124: 7'9/35
125: 4'29133/63200
126: 1'29/76
127: 5767
128: 35'555/826
129: 482'3/5
130: 2'724/2403
131: 143'794/1081
132: 1290
133: 97'1/41
134: 43'34/77
135: 1574'2/27
136: 25'6775/8342
137: 39'2334/3905
138: 9'87/310
139: 79/2784
140: 97/8649
141: 89
142: 207/436
143: 98'3/19
144: 157/2592
145: 70'15/56
146: 83'59/63
147: 909
148: 24/85
149: 3108
150: 1'16/41
151: 49'65/357
152: 46'7/44
153: 63
154: 74'10/19
155: 48
156: 96'5/9
157: 242'12/61
158: 1887
159: 158'34/775
160: 3'7/9
161: 5267/259350
162: 41'48/67
163: 31/130
164: 55'655/1248
165: 97'13/27
166: 6'43/147
167: 1'109/4301
168: 61'5/58
169: 229/595
170: 15'93/470
171: 3'61/81
172: 2'50/91
173: 7479'41/42
174: 73/3168
175: 335'1/43
176: 111'13/44
177: 3'43/100
178: 18'38/115
179: 22
180: 87'4039/6954
181: 35/99
182: 3'21845/110208
183: 10
184: 3572
185: 16/17
186: 54'23554/27531
187: 89'42/53
188: 473/540
189: 69'187/2058
190: 325
191: 7/13500
192: 16'2447/2522
193: 142'18/29
194: 1'14/19
195: 4'5167/6006
196: 16
197: 106'31/78
198: 6
199: 13'5/12
200: 92'6091/6319
201: 74'101/120
202: 5'9491/15010
203: 4'353984/374187
204: 5'8/117
205: 171'369/781
206: 7/72
207: 15'2/5
208: 1620
209: 3'31/40
210: 4'1/8
211: 695'20/39
212: 389'3/92
213: 42'169/3444
214: 1199'1191/6241
215: 54'32733/54340
216: 53'1/65
217: 44'1/31
218: 13'997/3045
219: 87/110
220: 11'793/826
221: 7/45
222: 176'1/29
223: 2454'6/11
224: 3'181/493
225: 14'337/385
226: 33'64175/88704
227: 20'36/37
228: 1'11/42
229: 31/1530
230: 39
231: 67'5/6
232: 14'21/50
233: 659'1181/1364
234: 9627'322/323
235: 39'71/191
236: 62'1/49
237: 1'151/182
238: 28948/66755
239: 17'1/54
240: 5440
241: 2'88/391
242: 23/4653
243: 48'87442/104405
244: 2'3/4
245: 6
246: 10'263/558
247: 1'997/4940
248: 149'1/7
249: 53/228
250: 73'24/31
251: 352/6321
252: 21'394/3239
253: 55'37/60
254: 1'15/32
255: 1'7539/8165
256: 47'5321/12690
257: 2'133211/443700
258: 356'5/42
259: 2845'4/13
260: 2201/4361
261: 101'247/388
262: 6'29521/118560
263: 165/943
264: 88'3347/6561
265: 1'457/2675
266: 496
267: 2432'13/15
268: 91'1/5
269: 1919'19/49
270: 38
271: 58'181/7896
272: 5474'11/13
273: 106'8/25
274: 142'47/6804
275: 67'537/754
276: 26/203
277: 4'2/3
278: 337579/572895
279: 85
280: 58'4/7
281: 75
282: 13'96/527
283: 35'5257/16920
284: 27'3/10
285: 58'8326/12369
286: 76'9417/17108
287: 5'61/3604
288: 13'247/272
289: 33
290: 122'79/308
291: 5/88
292: 2'2911/3528
293: 2400
294: 110'31/140
295: 96'25/49
296: 92'3491/4361
297: 55'231/235
298: 90'97/525
299: 3098'1/4
300: 54'2/25
301: 173'68/315
302: 122'38/41
303: 51/1078
304: 1'3856/8569
305: 4304
306: 39600
307: 4'52/99
308: 28'2/5
309: 92/455
310: 17/644
311: 43'137/345
312: 2814
313: 2468'4/41
314: 2'1741953/3588970
315: 61'9/34
316: 47'1/9
317: 3'317/1674
318: 60
319: 316'4/11
320: 5188'948/1271
321: 10'11/34
322: 9'92637/107632
323: 30'20/21
324: 3'1409/4845
325: 15'40/59
326: 7'103/196
327: 9'2/55
328: 7'27/79
329: 13/231
330: 190881'3/5
331: 45'337/1235
332: 1772'52/89
333: 55'8/15
334: 34'1574725/5516928
335: 38'15/184
336: 15'169/493
337: 1608'56/79
338: 49'59/85
339: 114
340: 1'157/529
341: 10044
342: 332/1765
343: 1'5092/6497
344: 57'16/37
345: 112902'22/81
346: 29/11826
347: 107
348: 13'3863/3876
349: 2'521/10725
350: 9702
351: 7077'1/5
352: 10'1505/3712
353: 3'13/36
354: 6'1/39
355: 17/360
356: 245/15552
357: 5'85/112
358: 1'279/3280
359: 1241/148915
360: 54'2/23
361: 49'1/7
362: 40
363: 219/1463
364: 93'23/28
365: 138'78/79
366: 5'27309/27625
367: 2279
368: 21'177/301
369: 33'48/49
370: 2072'64/87
371: 2'69323/188860
372: 13'16/59
373: 1530
374: 47/3200
375: 167'107/115
376: 2871
377: 260'13/18
378: 132288
379: 566'271/512
380: 112
381: 41/31200
382: 201'7396/18601
383: 72
384: 119'16/255
385: 31'61/71
386: 134'14/85
387: 19'34/73
388: 891'1/4
389: 9581'11/23
390: 1'15/23
391: 1680'3/232
392: 33'241/270
393: 4'554/737
394: 7'583/5550
395: 1'17/44
396: 27'2211/456620
397: 100
398: 365/10556
399: 26'2/5
400: 92'5/6
401: 1'222/469
402: 1413'1579/1606
403: 5330
404: 62'49/50
405: 15/12331
406: 15
407: 22'22/25
408: 34'160/413
409: 69'75/241
410: 6048
411: 53'2692/5355
412: 392
413: 74'11/13
414: 2'929/1232
415: 28
416: 232'1/2
417: 32'15/22
418: 90
419: 507/3875
420: 15/41
421: 30'4357/8740
422: 882
423: 1930'4/23
424: 676/2497
425: 3'781/3480
426: 26'3633/10028
427: 104'2/67
428: 116662597/125232900
429: 25'5/19
430: 13'1362/28033
431: 51'2/7
432: 330
433: 234024
434: 3'17/54
435: 62'45/47
436: 611/776
437: 754
438: 17'41/47
439: 23'2/13
440: 2523/72896
441: 5'53/191
442: 756'97/122
443: 3'59/119
444: 1'12/25
445: 63
446: 640'9109/13920
447: 138
448: 1933
449: 40/527
450: 162'479/6975
451: 13/40
452: 35'1393/1807
453: 42'14/19
454: 12'67/110
455: 9024
456: 88'5/6
457: 279
458: 576/1175
459: 50'478/627
460: 17'17/20
461: 18'3275/4891
462: 36'18/89
463: 22'11681/14952
464: 35
465: 52'47/64
466: 69'117/200
467: 154283/342705
468: 3/13
469: 3'1/31
470: 1250
471: 2692'107/183
472: 19'541/624
473: 35'15/23
474: 76'76/117
475: 77'35/102
476: 85'2/23
477: 5'10553/13065
478: 78
479: 185/65026
480: 52
481: 1175/1567218
482: 11'233/330
483: 57'9/16
484: 66'10/79
485: 8'241/2590
486: 28'56/87
487: 44'4/11
488: 35/66
489: 2912
490: 4137/7808
491: 91'11/29
492: 6870'37/75
493: 25/603
494: 1645/211536
495: 23/656
496: 25/1156
497: 209'605/1092
498: 2'727/1470
499: 28
500: 23
501: 121/159
502: 11'1300/1539
503: 141
504: 23'67/76
505: 909/3458
506: 7'185455/572432
507: 15'428/589
508: 487'17/99
509: 5'61/439
510: 77/80
511: 183/656
512: 20'44/325
513: 5350
514: 142'419/495
515: 5'616/845
516: 50/61
517: 16'2/3
518: 25'24/35
519: 1'83/115
520: 2'46/47
521: 81'27/38
522: 2'6471/8450
523: 2'58/235
524: 78'22/73
525: 14'53/66
526: 717'445/559
527: 3'65/102
528: 2'3023/13776
529: 1'329/384
530: 385'5/7
531: 318/377
532: 32'593/2805
533: 1'291/910
534: 61'1333/15561
535: 143'49/132
536: 2323/8437
537: 18'43/62
538: 2'46408/64505
539: 38'76/115
540: 191/1672
541: 20424/30685
542: 32'194/945
543: 233'5/26
544: 3476
545: 5'383/798
546: 213444'7/34
547: 90'16/35
548: 87'3/16
549: 84'1165/4674
550: 54'14/15
551: 2365/12544
552: 12'2/5
553: 8'39647/50600
554: 537'110/441
555: 632'113/348
556: 52
557: 241/7320
558: 32
559: 28
560: 7485'15/91
561: 2264'600/1537
562: 6'12/55
563: 141'5/9
564: 81'3/7
565: 234'26/33
566: 334'25/43
567: 282/803
568: 33
569: 19'19/24
570: 212
571: 2'5/46
572: 24/35
573: 2597/95274
574: 6'126053/126947
575: 2'3/424
576: 366'1/4
577: 13/24
578: 1232/4747
579: 12/59
580: 16'113/183
581: 56'64/87
582: 161'140/453
583: 447'15/47
584: 26/205
585: 2107/2790
586: 4'962/3485
587: 725/834
588: 1/390
589: 36'48/149
590: 193'13/21
591: 3
592: 517/23808
593: 95'1/208
594: 9'5/252
595: 104'1/16
596: 93'13/95
597: 22'152/189
598: 50'1799/2546
599: 6720'7/517
600: 30'7/65
601: 45'908/935
602: 71'4/351
603: 26/13395
604: 4'1612/4205
605: 144
606: 35/52
607: 1224
608: 352
609: 33/43
610: 68'93/368
611: 18
612: 131'289/2786
613: 702149/1679332
614: 7/3348
615: 68/99
616: 34'1/11
617: 101'137/264
618: 66
619: 1/2948
620: 4'261/644
621: 64343/97867
622: 151'36/61
623: 7'3/5
624: 94'845/2376
625: 171
626: 227/322
627: 6'37/492
628: 108'27/83
629: 13'313/979
630: 87'59/69
631: 16'1/51
632: 1209'46/257
633: 2850
634: 23'51703/52111
635: 30'31/97
636: 95'16/35
637: 17/1372
638: 8'19/33
639: 77'193/216
640: 3'92213/95580
641: 14'83/85
642: 51'33/43
643: 344'52/157
644: 18'799/2501
645: 198
646: 1106
647: 15'1/6
648: 325'6/7
649: 59'207/799
650: 5841/20351
651: 285/2666
652: 31
653: 23'892/1785
654: 2'61/756
655: 27'3/11
656: 3696
657: 1120
658: 3'5/81
659: 31'51/61
660: 35/87
661: 138'1283/2109
662: 123
663: 42'559/1190
664: 79625/254301
665: 77'11543/13780
666: 1/34
667: 175
668: 10'31/72
669: 9'3109/3420
670: 76'428/585
671: 37'6/7
672: 720'1/10
673: 1395
674: 16'364/365
675: 48'206/261
676: 1290'113757/305359
677: 90'2/3
678: 4497'816/1079
679: 11'13/50
680: 2'3691/9310
681: 144'4/71
682: 72'5/8
683: 3'1636/1881
684: 6'923/2312
685: 7/22
686: 59'19/37
687: 360'27/31
688: 2'1/8
689: 2'3139/4697
690: 21
691: 43'1/4
692: 62'5/21
693: 17'4/5
694: 164'6/23
695: 229'29/64
696: 15'928/4011
697: 3'1303/30360
698: 2'711/899
699: 1'117081/154301
700: 135'4/5
701: 1'11/369
702: 5'881/3608
703: 230496
704: 114
705: 1'39/1364
706: 161/2263
707: 76'25/87
708: 143/27000
709: 17/50
710: 465/68608
711: 40'74/93
712: 30967/17590950
713: 492
714: 345'4/5
715: 80'6/11
716: 18'74/1081
717: 3'4/7
718: 6'53/97
719: 10'307/1025
720: 7'7273/35438
721: 14'17/20
722: 14'191/193
723: 3'67/650
724: 8/9
725: 5'39/140
726: 6'421/495
727: 33'4/7
728: 2'347/1241
729: 2'11/32
730: 18
731: 214'4/7
732: 63'79/182
733: 4'20/153
734: 5'147/188
735: 4'19/240
736: 103'9/160
737: 52'2143/4263
738: 5'6223/93060
739: 161'35/57
740: 12'10/19
741: 5'685/801
742: 6'187/976
743: 19'6713/24817
744: 92
745: 2'26483/33060
746: 30
747: 14'95/312
748: 15'4/83
749: 84239/197948
750: 3484'4/5
751: 12'37/63
752: 72'40/43
753: 1593
754: 26'91599/106018
755: 3'30/91
756: 100'539/598
757: 32'3/5
758: 3234/3307
759: 87'9/10
760: 19'55/87
761: 113'2/5
762: 22
763: 2'5059/9810
764: 19/62
765: 55'87/104
766: 6480
767: 61'5/259
768: 17'4/7
769: 6'4504/5083
770: 5'503/2107
771: 20'1774/8235
772: 2'3451/7209
773: 4'7132/8569
774: 26'73/518
775: 10
776: 43/55
777: 30'2/9
778: 23/210
779: 4993/14700
780: 1560
781: 193'1/3
782: 3'6/11
783: 65
784: 1/90
785: 95'4/9
786: 2489/39780
787: 98'4789/5246
788: 422'150/161
789: 205'305/307
790: 2'361/1152
791: 3419
792: 141'3/4
793: 20'15033/71540
794: 7'882159/4806494
795: 103'57793/75240
796: 49493/89661
797: 17092'242/799
798: 2'32/47
799: 1'32/47
800: 12'221/2001
801: 22'185/344
802: 8400
803: 158'1/3
804: 29'4/7
805: 78'71/270
806: 3'8/77
807: 21'3/14
808: 6
809: 8'81/664
810: 4180
811: 11'11/75
812: 9563'49/73
813: 869/1088
814: 12'426/833
815: 2061'2/11
816: 2'205/244
817: 1'53/130
818: 33
819: 31
820: 1'47/561
821: 271/2600
822: 78'1/20
823: 72'4/13
824: 6'118/139
825: 40'16/17
826: 70'29992/36135
827: 131/2109
828: 177
829: 43'9755/11074
830: 61'4138/5467
831: 286/75561
832: 119/1072
833: 72/119
834: 55'26/41
835: 464'1016/1235
836: 20/351
837: 109'19/41
838: 32'75/94
839: 16
840: 10'1895/3108
841: 89'3307/5427
842: 3'72/77
843: 6737/24444
844: 3188'8/11
845: 1/1890
846: 12'8/11
847: 4988'214/1025
848: 21605'7/25
849: 9'1037/5130
850: 21'8/23
851: 3'526667/1231692
852: 535/3999
853: 63'12/19
854: 2'1/6
855: 78'593/1020
856: 273'109/190
857: 149/130975
858: 12'9/10
859: 77'4933/36795
860: 4469'20/89
861: 990'6/61
862: 3'49/1760
863: 35'25/2494
864: 41'10/29
865: 26'7/13
866: 451/5184
867: 56'11/46
868: 1088
869: 257'3/10
870: 90
871: 37/49
872: 36'10/11
873: 9313/41078
874: 30'13/46
875: 44'22453/30295
876: 72'2/7
877: 21'1/4
878: 65
879: 182'31/73
880: 137'11/12
881: 183652'4/23
882: 1970/31527
883: 37'18587/19809
884: 88'23/53
885: 4/7
886: 162'97/490
887: 3139/3367
888: 99'5/9
889: 35'25/32
890: 99'25/26
891: 11/276
892: 3'86/171
893: 4702'71/252
894: 4'52/931
895: 42'4/5
896: 779/1458
897: 57'25/64
898: 43
899: 15
900: 1'169/1311
901: 130'25/59
902: 69'4033/22968
903: 10285/63423
904: 319/1440
905: 7968
906: 27'1/79
907: 446'99/116
908: 23'97/181
909: 100'203/380
910: 12287/21266
911: 5'11/13
912: 85'2/7
913: 4'15/152
914: 143'2/7
915: 23'12/53
916: 87'2/9
917: 3714'363/688
918: 46'1661/7446
919: 371/17670
920: 462'24/73
921: 2'10/63
922: 71'337/693
923: 2464/3657
924: 234'1/6
925: 14'5326/14391
926: 3136
927: 13'9/665
928: 1'163/420
929: 21
930: 91'20/37
931: 1829/1855
932: 49
933: 63/220
934: 203367'5/29
935: 384'22/45
936: 49/1380
937: 4
938: 1'21/52
939: 10'71332/122589
940: 189'47/62
941: 46'1/23
942: 31'19763/32527
943: 8'1223/8946
944: 46'2/3
945: 115'2/5
946: 28'2543/2850
947: 175'49/53
948: 784/86955
949: 58'1/4
950: 39
951: 1'199/1458
952: 83'2891/10944
953: 123'2188/3977
954: 139'13/57
955: 34'36/41
956: 13'15538/18113
957: 59'32/37
958: 6'28087/265200
959: 1'45553/59040
960: 4'19/100
961: 374
962: 58'13/47
963: 119'9/10
964: 259'698/705
965: 52'1/17
966: 17'837/6650
967: 27'2431/3192
968: 22'12/25
969: 1'8899/18088
970: 4'13169/25326
971: 2500
972: 81'3/8
973: 24'147/1702
974: 169/2952
975: 1394/4209
976: 7'3/19
977: 24'7/12
978: 57'99/6460
979: 3980
980: 8'48/55
981: 16'439/442
982: 6'823/2538
983: 79
984: 19/56
985: 10'12077/34317
986: 9'411/803
987: 45/989
988: 315'1899/2401
989: 3423
990: 87'65/77
991: 256'5/6
992: 27'71/247
993: 44
994: 46'32/65
995: 78401/102102
996: 123
997: 108
998: 1062'25/44
999: 78
1000: 6'89/396
1001: 1415'35/39
1002: 4
1003: 3'3926/3933
1004: 213'20/27
1005: 1'470/621
1006: 25'5/8
1007: 258'10/21
1008: 11'686859/4006100
1009: 11'11/50
1010: 778300/1798749
1011: 14'1/10
1012: 7/304
1013: 29/34
1014: 6'1101/1253
1015: 45/5152
1016: 65'2/29
1017: 232'64/83
1018: 1'44527/57362
1019: 139'723/2201
1020: 10'118/145
1021: 45'23/35
1022: 82'1/2
1023: 9/793
1024: 497
1025: 91'17/28
1026: 90'35/47
1027: 37'21/31
1028: 32'67/71
1029: 12'5/18
1030: 7'5/29
1031: 485
1032: 3'3/26
1033: 67'9/82
1034: 1'697/3195
1035: 2'109/123
1036: 6'167/1190
1037: 133'3624/3913
1038: 2'259/561
1039: 3'19/39
1040: 17'77/204
1041: 2'33/38
1042: 65'4489/18228
1043: 1'47/69
1044: 18172/23715
1045: 75'33/160
1046: 2'119/120
1047: 38'1/3
1048: 121
1049: 13'1/11
1050: 81'3/5
1051: 217'158/185
1052: 92'4/19
1053: 7'5023/5775
1054: 5'239/264
1055: 939757'161/1342
1056: 24934'1/2
1057: 7'209/708
1058: 1'1341/1702
1059: 31'377/418
1060: 1'1/46
1061: 754
1062: 1135'1/5
1063: 14'2/43
1064: 179'7663/9367
1065: 2300
1066: 4'6/7
1067: 2743'155/224
1068: 47'5/13
1069: 2'21221/48960
1070: 11'4/11
1071: 909/1666
1072: 40
1073: 53'488/837
1074: 38'89/111
1075: 33'14027/14652
1076: 142376
1077: 4'47/112
1078: 268'76/87
1079: 1'3431/6300
1080: 25611'279/1312
1081: 7216
1082: 4'55/59
1083: 1097'79/148
1084: 109'29/34
1085: 149/3655
1086: 353'13/19
1087: 3544991/6470574
1088: 31'171/260
1089: 14'2087/65550
1090: 88'3/56
1091: 73'39/46
1092: 2492'20/33
1093: 60
1094: 21
1095: 51'279/890
1096: 7'19/58
1097: 151'1563/1640
1098: 10'31/104
1099: 331'23/154
1100: 15'14/25
1101: 53/75
1102: 172/297
1103: 81'49/80
1104: 25'243/650
1105: 32'24/85
1106: 2'4/5
1107: 31
1108: 37/116064
1109: 103
1110: 46
1111: 440
1112: 285'1/12
1113: 6'5899/31541
1114: 6'2/7
1115: 3'629/3280
1116: 77'251/1649
1117: 416/435
1118: 2'19254/19285
1119: 30/37
1120: 3'3/13
1121: 180
1122: 77'13/47
1123: 481
1124: 101'1/20
1125: 85'11/23
1126: 1584
1127: 4539'123/391
1128: 2'203/220
1129: 2'485/4144
1130: 606'147/194
1131: 28
1132: 148'5/8
1133: 5566'11901/13585
1134: 165/6164
1135: 54'47/416
1136: 45'1/25
1137: 21'81/7040
1138: 18'2/49
1139: 2'7/54
1140: 5'29/73
1141: 71'73/94
1142: 11'31/71
1143: 48
1144: 2565'15/29
1145: 4'247/280
1146: 103243/37073700
1147: 101'7/66
1148: 70'14/53
1149: 17/120
1150: 1'5/17
1151: 103'22/25
1152: 99'57/89
1153: 11
1154: 380'4/627
1155: 3'50/2009
1156: 2'8/15
1157: 5'511/901
1158: 5254'67/77
1159: 5856
1160: 87'323/620
1161: 32
1162: 61/2064
1163: 17'15/17
1164: 22'3332/4275
1165: 174'869/3869
1166: 868
1167: 7313
1168: 10/21
1169: 66'151/195
1170: 117
1171: 17'14103/54496
1172: 115'10/31
1173: 2'22/25
1174: 88'1/3
1175: 77'1/2
1176: 73
1177: 350
1178: 6133'1/2
1179: 83'147/496
1180: 79
1181: 2'1523/55056
1182: 5'183/928
1183: 3'25777/26533
1184: 1'25/184
1185: 12
1186: 10'32/135
1187: 16
1188: 576'12/13
1189: 68'9/10
1190: 827'119/159
1191: 87
1192: 70/7163
1193: 93'4/7
1194: 33'3/5
1195: 2483/101232
1196: 82'2/3
1197: 152'39340018/51821757
1198: 157
1199: 8'771/2695
1200: 10'701/13230
1201: 169/1241
1202: 8'93800/123443
1203: 34'4/51
1204: 62
1205: 44'9/14
1206: 3'355/693
1207: 44
1208: 58/71
1209: 23/196
1210: 91'671/686
1211: 4700/4863
1212: 857/5856
1213: 32/55
1214: 40/3367
1215: 61'131/186
1216: 2160'13/20
1217: 4'17873/210900
1218: 150'1/2
1219: 5'4/11
1220: 9'1/27
1221: 75
1222: 24'279/518
1223: 69'2924780/6145173
1224: 66'357/530
1225: 1'28/51
1226: 732/1225
1227: 5'47/1150
1228: 153'112/121
1229: 19'6/49
1230: 29'31/37
1231: 929/2914
1232: 186
1233: 149'1331/2009
1234: 35'65/119
1235: 33'1393/1426
1236: 1813/3004
1237: 77'182/261
1238: 6'5/24
1239: 1'569/1564
1240: 116'21/754
1241: 1830
1242: 2'157/450
1243: 2'2/57
1244: 4'10/37
1245: 203'215/4183
1246: 44'37/41
1247: 89'3/16
1248: 149'8/11
1249: 114
1250: 5'85/114
1251: 137'355/976
1252: 20237
1253: 1026
1254: 59015'1/4
1255: 3'1955/2016
1256: 29/868
1257: 19'9/19
1258: 4'2903/3168
1259: 3'49/66
1260: 100'11/59
1261: 2'172059/347612
1262: 62'1198/72631
1263: 6252'3/22
1264: 68'169/324
1265: 70/99
1266: 67'730/731
1267: 140
1268: 101'62/85
1269: 24'85/189
1270: 178
1271: 175'1/5
1272: 459/10790
1273: 3'9/16
1274: 35'41/44
1275: 3312
1276: 120'25/88
1277: 15'65/99
1278: 95
1279: 8'867/980
1280: 4'40/67
1281: 360/3971
1282: 138'47/2772
1283: 260
1284: 599'683/1433
1285: 72'15/94
1286: 1'17/20
1287: 19'173/259
1288: 1
1289: 697'25/47
1290: 60'20/31
1291: 95'71/85
1292: 31'1036/1053
1293: 58'1519/5609
1294: 440'2/5
1295: 16'419/637
1296: 43
1297: 5'31/45
1298: 6'718/855
1299: 413'131/176
1300: 6'2294/4067
1301: 52'1/9
1302: 8'949/3060
1303: 67'32/97
1304: 74
1305: 12'281/666
1306: 343'49/50
1307: 1157/1357
1308: 435'849/1600
1309: 4'16673/29856
1310: 17'1/2
1311: 22'45/73
1312: 689
1313: 4'38231/309778
1314: 131'31/34
1315: 25'11/28
1316: 297/1135
1317: 55'8/15
1318: 68'30/49
1319: 90'4/21
1320: 2261/1200576
1321: 1996'449/784
1322: 29'1409/1660
1323: 425/2379
1324: 7'109/150
1325: 2'23/41
1326: 71'33/34
1327: 77'5/16
1328: 4'451/589
1329: 34/553
1330: 55'19/20
1331: 6880'9903/11297
1332: 3'8/45
1333: 39'29/42
1334: 779'23/83
1335: 131/208
1336: 36'73/594
1337: 2'43/102
1338: 29/81
1339: 354'7/60
1340: 65
1341: 15'1/2
1342: 3'10/13
1343: 985'2219/3355
1344: 4'3/4
1345: 46'15/61
1346: 145/3354
1347: 15'111/127
1348: 321'3101/7138
1349: 170235/438976
1350: 4'5/6
1351: 5462'43/83
1352: 7291/382200
1353: 53
1354: 4296'7/8
1355: 1632
1356: 219'1/21
1357: 1'8/9
1358: 5103
1359: 2496'7/9
1360: 45'27/73
1361: 181'51/62
1362: 22'4/23
1363: 24'1/3
1364: 67'1/3
1365: 142/5037
1366: 231
1367: 2'41/112
1368: 67
1369: 1411/2088
1370: 103
1371: 14'2184/2945
1372: 38'137/1705
1373: 3499/45156
1374: 19/24
1375: 50'61925/87009
1376: 79'812/825
1377: 25'224/489
1378: 43'5/12
1379: 115/578264
1380: 3'278/1617
1381: 1'1/2
1382: 3'53/60
1383: 103/3471
1384: 2'13561/21420
1385: 33
1386: 7269'6/23
1387: 139'73/78
1388: 4851/61828
1389: 89
1390: 45'17/30
1391: 155'40/51
1392: 17'389/697
1393: 2028
1394: 2'77/120
1395: 4
1396: 2322/180565
1397: 75'28/55
1398: 13'319238/478179
1399: 4'124/133
1400: 98'40/83
1401: 222/665
1402: 2'34/123
1403: 1'11117/59800
1404: 4'44903/1998976
1405: 126745/155844
1406: 379'26/215
1407: 91'86/1573
1408: 9516'8/9
1409: 363'597/5161
1410: 33/64
1411: 29/30
1412: 35/264
1413: 1761880/3737201
1414: 47923/82296
1415: 197'223/289
1416: 46'9/29
1417: 282'6/11
1418: 47'50/73
1419: 182'1/5
1420: 295/6734
1421: 24'2/3
1422: 50/127
1423: 25/297
1424: 181'53/95
1425: 80'29/37
1426: 633/1274
1427: 3916
1428: 53'1209/7304
1429: 21'5/49
1430: 2'59/97
1431: 121
1432: 101'1/32
1433: 910/1551
1434: 4'7/18
1435: 40'6/7
1436: 79/1820
1437: 2221'983/3901
1438: 209
1439: 8'83/85
1440: 3'26/31
1441: 360
1442: 8'61/343
1443: 50'11/14
1444: 6366'8/33
1445: 893
1446: 75480
1447: 15'545179/799425
1448: 111
1449: 19/504
1450: 37/83
1451: 1'4/5
1452: 8'96/413
1453: 2'433/1876
1454: 107'1/6
1455: 238/2077
1456: 147'5/11
1457: 55'29/84
1458: 7'20404/36105
1459: 2148'26/49
1460: 28'9/47
1461: 792
1462: 6'303/1022
1463: 11
1464: 1'313/1590
1465: 43
1466: 227'1580/2703
1467: 5/16
1468: 397/1072
1469: 1/8
1470: 3'49/1350
1471: 62'1/20
1472: 24'113/2850
1473: 13
1474: 92'7/300
1475: 5'61/238
1476: 2'103/338
1477: 3'84957/846076
1478: 42'487/493
1479: 7/37
1480: 9
1481: 219'8/25
1482: 105'4/5
1483: 27'1/3
1484: 2'54491/242165
1485: 23/48
1486: 47/65
1487: 40/41
1488: 85'9/493
1489: 1'38039/45198
1490: 92
1491: 352/1225
1492: 208'8/81
1493: 134'3/76
1494: 247'3/4
1495: 44'2/5
1496: 4'179897/468958
1497: 20'19/28
1498: 28'1/69
1499: 1771'4/7
1500: 211'22/23
1501: 3'21/473
1502: 76015/81833
1503: 294'22/87
1504: 1'143/3050
1505: 16
1506: 7333'5/14
1507: 5731'22/25
1508: 28'2/3
1509: 67'122/455
1510: 103
1511: 7'77/155
1512: 2'386/5395
1513: 2754/4235
1514: 186'1/13
1515: 1'3533/68112
1516: 6'2818/3465
1517: 146355/158659
1518: 2'11981/16926
1519: 19'737/1189
1520: 2881'33/35
1521: 244/406451
1522: 4'30/37
1523: 101'5/12
1524: 59
1525: 276/35119
1526: 1159
1527: 6'2833/3774
1528: 83/442308
1529: 1389
1530: 5'10/11
1531: 125'17/91
1532: 4'29859/36722
1533: 67
1534: 11'23/34
1535: 15'597/3895
1536: 20'21/62
1537: 14592
1538: 96'17/95
1539: 3'75/287
1540: 11609/52614
1541: 1'3859/11750
1542: 60'30/37
1543: 337'3/16
1544: 143'1/13
1545: 44'1/21
1546: 68'7/8
1547: 115'6/17
1548: 74'21/73
1549: 78
1550: 226'38/79
1551: 92'163/351
1552: 3'643/25925
1553: 2'91/292
1554: 2'206/377
1555: 184'11/30
1556: 1025/3696
